Karakol, Kyrgyzstan.
University of Washington, WA.
Lake Washington, WA.
Multnomah Falls, OR.
Picos De Europa, Spain.
Sintra, Portugal.
Snoqualmie, WA.
Old Man Of Storr, Scotland.
Suzzallo Library, WA.
Casa De Campo, Madrid.
San Juan Island, WA.
Gothic Basin, WA.
Maple Valley, WA.
Cabo De Roca, Portugal.
Cabo De Roca, Portugal.
North Bend, WA.
Lake Issyk-Kul, Kyrgyzstan.
Sintra, Portugal.
Picos De Europa, Spain.
Leavenworth, WA.
Mount Rainier, WA.
Bellingham, WA.
North Bend, WA.
Seattle, WA.
Picos De Europa, Spain.
Ellensburg, WA.
Multnomah Falls, OR.
Winthrop, WA.
Leavenworth, WA.
Canary Islands, Spain.
Newport, OR.
Sammamish, WA.
North Bend, WA.
Cannon Beach, OR.
Olympic National Park, WA.
Lake Issyk-Kul, Kyrgyzstan.
University of Washington, WA.
Palouse, WA.
Sammamish, WA.
Anacortes, WA.
Mount Rainier, WA.
Iguazu Falls, Argentina.
Palouse, WA.
Palouse Falls, WA.
Lake Chelan, WA.
University of Washington, WA.
Lake Washington, WA.
Newport, OR.
Whidbey Island, WA.
San Juan Island, WA.
Humahuaca, Argentina.
Olympic National Park, WA.
Seattle, WA.
Dolomites, Italy.
Sammamish, WA.
Florence, OR.
Snoqualmie Falls, WA.
Mojave Desert, CA.
Edinburgh, Scotland.
Bellevue, WA.
Mojave Desert, CA.
Olympic National Park, WA.
Waptus Lake, WA.
Mountlake Terrace, WA.
North Bend, WA.
Port Townsend, WA.
Crystal Mountain, WA.
El Chalten, Argentina.
Gas Works Park, Seattle.
Rattlesnake Lake, WA.
Discovery Park, Seattle.
Dungeness Spit, WA.
Orcas Island, WA.
Discovery Park, Seattle.
North Bend, WA.
Snow Lake, WA.
Whidbey Island, WA.
Hanford Reach National Monument, WA.
Washington Park Arboretum, WA.
Unkown.
Crystal Mountain, WA.
Gas Works Park, Seattle.
Lake 22, WA.
Sumas, WA.
Sammamish, WA.
Carnation, WA.
